City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Provideniya,RU,2021-01-05 01:47:37,64.38,-173.3,-3.42,86,0,12.15
1,Rikitea,PF,2021-01-05 01:49:57,-23.12,-134.97,76.86,73,2,16.84
2,Coahuayana,MX,2021-01-05 01:50:01,18.73,-103.68,75.2,73,5,11.41
3,Georgetown,MY,2021-01-05 01:50:19,5.41,100.34,80.6,83,20,3.36
4,Qaanaaq,GL,2021-01-05 01:50:11,77.48,-69.36,-2.47,77,98,4.38
5,Slobodskoy,RU,2021-01-05 01:55:11,58.73,50.18,13.75,97,95,4.16
6,Mataura,NZ,2021-01-05 01:50:11,-46.19,168.86,55.11,95,100,1.34
7,Kimbe,PG,2021-01-05 01:52:56,-5.55,150.14,87.33,66,98,6.26
8,Dikson,RU,2021-01-05 01:50:04,73.51,80.55,0.18,93,100,25.12
9,Ahuimanu,US,2021-01-05 01:55:13,21.44,-157.84,84.2,65,1,9.17
10,Pacific Grove,US,2021-01-05 01:50:53,36.62,-121.92,57.2,82,75,6.93
11,Raudeberg,NO,2021-01-05 01:55:13,61.99,5.14,30.2,80,100,8.05
12,Touros,BR,2021-01-05 01:52:18,-5.2,-35.46,78.8,78,20,9.17
13,Nome,US,2021-01-05 01:47:54,64.5,-165.41,-0.4,59,1,17.22
14,Hay River,CA,2021-01-05 01:55:14,60.82,-115.8,-20.2,75,95,1.52
15,Port Elizabeth,ZA,2021-01-05 01:46:40,-33.92,25.57,73.4,94,75,6.93
16,Hailar,CN,2021-01-05 01:51:35,49.2,119.7,-12.53,87,82,7.27
17,Muros,ES,2021-01-05 01:47:48,42.78,-9.06,32.0,96,4,6.06
18,Handan,CN,2021-01-05 01:55:16,36.6,114.47,24.75,65,42,5.86
19,Emba,KZ,2021-01-05 01:55:16,48.83,58.14,-0.18,84,5,6.06
20,Saskylakh,RU,2021-01-05 01:47:35,71.92,114.08,1.9,92,100,13.71
21,Aksu,CN,2021-01-05 01:50:51,41.12,80.26,8.69,91,0,3.31
22,Isangel,VU,2021-01-05 01:50:43,-19.55,169.27,82.4,88,75,9.17
23,Les Cayes,HT,2021-01-05 01:55:17,18.2,-73.75,71.49,75,0,5.95
24,Clyde River,CA,2021-01-05 01:51:13,70.47,-68.59,-16.6,75,1,20.8
25,Vanimo,PG,2021-01-05 01:51:49,-2.67,141.3,87.46,61,100,3.53
26,Rafai,CF,2021-01-05 01:55:18,4.95,23.92,70.81,53,52,1.52
27,Butaritari,KI,2021-01-05 01:47:34,3.07,172.79,82.24,77,100,21.14
28,Vila Velha,BR,2021-01-05 01:50:49,-20.33,-40.29,77.0,88,40,11.41
29,Waddan,LY,2021-01-05 01:55:18,29.16,16.14,48.11,52,0,4.43
30,Turukhansk,RU,2021-01-05 01:53:02,65.82,87.98,-21.44,88,100,5.97
31,Bluff,NZ,2021-01-05 01:50:23,-46.6,168.33,53.56,94,100,1.54
32,Quatre Cocos,MU,2021-01-05 01:50:20,-20.21,57.76,77.0,78,40,9.17
33,East London,ZA,2021-01-05 01:50:12,-33.02,27.91,74.77,71,45,5.53
34,Faridpur,BD,2021-01-05 01:55:19,23.6,89.83,60.8,87,63,2.19
35,Punta Arenas,CL,2021-01-05 01:47:35,-53.15,-70.92,51.8,62,79,17.22
36,Vaini,TO,2021-01-05 01:50:18,-21.2,-175.2,82.4,83,75,14.99
37,Port Lincoln,AU,2021-01-05 01:51:46,-34.73,135.87,61.32,67,99,18.23
38,Tuktoyaktuk,CA,2021-01-05 01:47:34,69.45,-133.04,-18.4,75,75,10.29
39,New Norfolk,AU,2021-01-05 01:50:17,-42.78,147.06,73.0,48,97,1.01
40,Yellowknife,CA,2021-01-05 01:50:23,62.46,-114.35,-23.01,74,20,5.82
41,Sao Joao Da Barra,BR,2021-01-05 01:52:03,-21.64,-41.05,75.83,89,35,17.25
42,Mahebourg,MU,2021-01-05 01:46:15,-20.41,57.7,77.0,78,40,9.17
43,Yar-Sale,RU,2021-01-05 01:51:08,66.83,70.83,-15.48,87,3,14.03
44,Hilo,US,2021-01-05 01:50:38,19.73,-155.09,78.8,65,40,10.29
45,Ushuaia,AR,2021-01-05 01:45:04,-54.8,-68.3,51.8,53,75,13.87
46,Poum,NC,2021-01-05 01:55:23,-20.23,164.02,82.22,82,34,10.71
47,Simpang,ID,2021-01-05 01:55:24,-1.27,104.08,82.62,77,77,4.41
48,Albany,US,2021-01-05 01:50:16,42.6,-73.97,34.0,87,94,2.64
49,Busselton,AU,2021-01-05 01:50:10,-33.65,115.33,75.0,48,0,8.99
50,Sitka,US,2021-01-05 01:50:25,57.05,-135.33,42.8,60,75,17.22
51,Castro,BR,2021-01-05 01:50:00,-24.79,-50.01,62.15,92,96,3.56
52,Codrington,AU,2021-01-05 01:51:33,-38.27,141.97,58.46,85,100,16.04
53,Hobart,AU,2021-01-05 01:46:37,-42.88,147.33,70.0,68,75,8.05
54,Tiksi,RU,2021-01-05 01:51:04,71.69,128.87,-12.05,89,99,10.92
55,Barrow,US,2021-01-05 01:51:12,71.29,-156.79,-16.6,82,40,5.82
56,Ambon,ID,2021-01-05 01:51:49,-3.7,128.18,89.6,62,20,5.82
57,Cape Town,ZA,2021-01-05 01:48:20,-33.93,18.42,69.01,93,0,17.22
58,Den Helder,NL,2021-01-05 01:54:40,52.96,4.76,37.99,93,75,21.92
59,Kapaa,US,2021-01-05 01:50:15,22.08,-159.32,78.8,69,1,9.17
60,Coruripe,BR,2021-01-05 01:55:27,-10.13,-36.18,77.04,80,17,10.58
61,Souillac,MU,2021-01-05 01:52:44,-20.52,57.52,77.0,78,40,9.17
62,Pingdu,CN,2021-01-05 01:55:28,36.78,119.95,28.99,50,0,13.42
63,Cheney,US,2021-01-05 01:55:00,47.49,-117.58,42.01,86,90,11.41
64,Pitimbu,BR,2021-01-05 01:55:29,-7.47,-34.81,77.0,88,20,8.05
65,Tasiilaq,GL,2021-01-05 01:50:07,65.61,-37.64,17.6,48,0,4.7
66,Te Anau,NZ,2021-01-05 01:52:09,-45.42,167.72,52.68,92,100,3.24
67,Hermanus,ZA,2021-01-05 01:47:33,-34.42,19.23,70.0,87,100,12.46
68,Kodiak,US,2021-01-05 01:47:34,57.79,-152.41,33.8,86,90,6.93
69,Avarua,CK,2021-01-05 01:50:10,-21.21,-159.78,84.2,66,51,17.22
70,Cabo San Lucas,MX,2021-01-05 01:47:39,22.89,-109.91,69.8,43,5,8.05
71,Airai,TL,2021-01-05 01:47:40,-8.93,125.41,71.01,86,90,2.37
72,Klaksvik,FO,2021-01-05 01:52:05,62.23,-6.59,41.0,100,90,8.3
73,Sembe,CG,2021-01-05 01:55:32,1.65,14.58,76.68,69,94,1.48
74,Livramento,BR,2021-01-05 01:55:33,-3.03,-60.18,78.8,94,0,2.24
75,Bar Harbor,US,2021-01-05 01:55:34,44.39,-68.2,30.0,92,75,17.22
76,Nikolskoye,RU,2021-01-05 01:50:03,59.7,30.79,28.4,79,90,3.06
77,Geraldton,AU,2021-01-05 01:50:54,-28.77,114.6,86.0,22,0,33.33
78,Santa Barbara,US,2021-01-05 01:55:26,34.73,-120.03,55.99,87,1,9.17
79,Faya,SA,2021-01-05 01:55:35,18.39,42.45,53.6,87,0,0.67
80,Aguimes,ES,2021-01-05 01:55:35,27.91,-15.45,66.2,88,20,20.8
81,Bambous Virieux,MU,2021-01-05 01:50:05,-20.34,57.76,77.0,78,40,9.17
82,Nicoya,CR,2021-01-05 01:55:36,10.15,-85.45,80.6,65,0,18.34
83,Gizo,SB,2021-01-05 01:52:43,-8.1,156.84,86.38,62,100,1.45
84,Bilibino,RU,2021-01-05 01:53:12,68.05,166.44,-30.3,81,99,2.84
85,Hofn,IS,2021-01-05 01:50:54,64.25,-15.21,36.64,76,7,4.74
86,Atuona,PF,2021-01-05 01:50:45,-9.8,-139.03,78.17,77,87,15.68
87,Bambanglipuro,ID,2021-01-05 01:55:37,-7.95,110.28,85.12,67,83,1.03
88,Saint-Pierre,RE,2021-01-05 01:47:34,-21.34,55.48,75.2,78,75,6.93
89,Tahta,EG,2021-01-05 01:46:29,26.77,31.5,48.2,87,0,3.36
90,Aykhal,RU,2021-01-05 01:53:01,66.0,111.5,-9.4,83,90,6.71
91,Riyadh,SA,2021-01-05 01:48:41,24.69,46.72,53.6,76,0,2.24
92,Yulara,AU,2021-01-05 01:51:53,-25.24,130.99,77.0,31,35,16.11
93,Upernavik,GL,2021-01-05 01:50:58,72.79,-56.15,19.24,93,100,37.07
94,Jamestown,US,2021-01-05 01:50:16,42.1,-79.24,32.0,100,90,3.36
95,Iqaluit,CA,2021-01-05 01:50:28,63.75,-68.51,-22.0,67,20,2.24
96,Ajdabiya,LY,2021-01-05 01:55:40,30.76,20.23,54.7,67,100,5.82
97,Griffith,US,2021-01-05 01:55:40,41.53,-87.42,32.0,98,90,6.93
98,El Alto,PE,2021-01-05 01:55:40,-4.27,-81.21,66.96,86,100,10.04
99,Jawhar,SO,2021-01-05 01:55:41,2.78,45.5,71.28,77,77,10.96
100,Ipixuna,BR,2021-01-05 01:55:41,-1.76,-48.8,77.0,94,20,5.82
101,Cap Malheureux,MU,2021-01-05 01:52:18,-19.98,57.61,73.99,87,11,5.01
102,Petropavlovka,RU,2021-01-05 01:55:42,50.61,105.32,-22.95,75,100,4.59
103,Naryan-Mar,RU,2021-01-05 01:55:42,67.67,53.09,-8.77,90,0,9.1
104,Belmonte,BR,2021-01-05 01:55:42,-15.86,-38.88,77.0,83,90,12.75
105,Zhezkazgan,KZ,2021-01-05 01:52:43,47.8,67.71,-1.86,87,100,8.41
106,Viedma,AR,2021-01-05 01:50:21,-40.81,-63.0,57.99,85,11,10.58
107,Nikki,BJ,2021-01-05 01:55:43,9.94,3.21,74.16,23,0,3.06
108,Gurupa,BR,2021-01-05 01:55:43,-1.41,-51.64,75.81,91,66,3.58
109,Vasterhaninge,SE,2021-01-05 01:55:44,59.12,18.1,35.01,73,100,12.97
110,Korla,CN,2021-01-05 01:50:08,41.76,86.15,11.8,83,0,3.83
111,Evansville,US,2021-01-05 01:55:44,37.97,-87.56,41.0,75,1,5.03
